Frankston Station (Frankston),7:05,8:41,10:14,12:30,14:34,16:10,17:57,18:35,20:07,21:40
Leawarra Station (Frankston),7:07,8:43,10:16,12:32,14:36,16:12,17:59,18:37,20:09,21:42
Baxter Station (Baxter),7:14,8:50,10:23,12:39,14:43,16:19,18:06,18:44,20:16,21:49
Somerville Station (Somerville),7:18,8:54,10:27,12:43,14:47,16:23,18:10,18:48,20:20,21:53
Tyabb Station (Tyabb),7:22,8:58,10:31,12:47,14:51,16:27,18:14,18:52,20:24,21:57
Hastings Station (Hastings),7:27,9:03,10:36,12:52,14:56,16:32,18:19,18:57,20:29,22:02
Bittern Station (Bittern),7:31,9:07,10:40,12:56,15:00,16:36,18:23,19:01,20:33,22:06
Morradoo Station (Crib Point),7:34,9:10,10:43,12:59,15:03,16:39,18:26,19:04,20:36,22:09
Crib Point Station (Crib Point),7:37,9:13,10:46,13:02,15:06,16:42,18:29,19:07,20:39,22:12
Stony Point Station (Crib Point),7:41,9:17,10:50,13:06,15:10,16:46,18:33,19:11,20:43,22:16
