Melbourne Central Station (Melbourne City),5:29,5:49,6:16,6:35,6:55,7:15,7:35,-,8:15,-,8:55,-,9:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:35,-,-,-,-,-,-,-,-,-,-,-,-,-
Parliament Station (Melbourne City),5:31,5:51,6:18,6:37,6:57,7:17,7:37,-,8:17,-,8:57,-,9:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:37,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),5:34,5:54,6:21,6:40,7:00,7:20,7:40,-,8:20,-,9:00,-,9:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:40,-,-,-,-,-,-,-,-,-,-,-,-,-
Flinders Street Station (Melbourne City),5:38,6:03,6:23,6:43,7:03,7:23,7:43,8:03,8:23,8:43,9:03,9:23,9:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:43,19:13,19:43,20:13,20:43,21:13,21:43,22:13,22:43,23:13,23:43,0:13,0:43,1:13
Southern Cross Station (Melbourne City),5:41,6:06,6:26,6:46,7:06,7:26,7:46,8:06,8:26,8:46,9:06,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46,0:16,0:46,1:16
North Melbourne Station (West Melbourne),5:45,6:10,6:30,6:50,7:10,7:30,7:50,8:10,8:30,8:50,9:10,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,0:20,0:50,1:20
Macaulay Station (North Melbourne),5:47,6:12,6:32,6:52,7:12,7:32,7:52,8:12,8:32,8:52,9:12,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:22,19:52,20:22,20:52,21:22,21:52,22:22,22:52,23:22,23:52,0:22,0:52,1:22
Flemington Bridge Station (North Melbourne),5:49,6:14,6:34,6:54,7:14,7:34,7:54,8:14,8:34,8:54,9:14,9:34,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,13:14,13:34,13:54,14:14,14:34,14:54,15:14,15:34,15:54,16:14,16:34,16:54,17:14,17:34,17:54,18:14,18:34,18:54,19:24,19:54,20:24,20:54,21:24,21:54,22:24,22:54,23:24,23:54,0:24,0:54,1:24
Royal Park Station (Parkville),5:51,6:16,6:36,6:56,7:16,7:36,7:56,8:16,8:36,8:56,9:16,9:36,9:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,13:16,13:36,13:56,14:16,14:36,14:56,15:16,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:36,18:56,19:26,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56,0:26,0:56,1:26
Jewell Station (Brunswick),5:53,6:18,6:38,6:58,7:18,7:38,7:58,8:18,8:38,8:58,9:18,9:38,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:38,17:58,18:18,18:38,18:58,19:28,19:58,20:28,20:58,21:28,21:58,22:28,22:58,23:28,23:58,0:28,0:58,1:28
Brunswick Station (Brunswick),5:55,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:29,19:59,20:29,20:59,21:29,21:59,22:29,22:59,23:29,23:59,0:29,0:59,1:29
Anstey Station (Brunswick),5:56,6:21,6:41,7:01,7:21,7:41,8:01,8:21,8:41,9:01,9:21,9:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:21,16:41,17:01,17:21,17:41,18:01,18:21,18:41,19:01,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30,1:00,1:30
Moreland Station (Coburg),5:58,6:23,6:43,7:03,7:23,7:43,8:03,8:23,8:43,9:03,9:23,9:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:43,19:03,19:32,20:02,20:32,21:02,21:32,22:02,22:32,23:02,23:32,0:02,0:32,1:02,1:32
Coburg Station (Coburg),6:00,6:25,6:45,7:05,7:25,7:45,8:05,8:25,8:45,9:05,9:25,9:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:34,20:04,20:34,21:04,21:34,22:04,22:34,23:04,23:34,0:04,0:34,1:04,1:34
Batman Station (Coburg North),6:02,6:27,6:47,7:07,7:27,7:47,8:07,8:27,8:47,9:07,9:27,9:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:47,19:07,19:36,20:06,20:36,21:06,21:36,22:06,22:36,23:06,23:36,0:06,0:36,1:06,1:36
Merlynston Station (Coburg North),6:04,6:29,6:49,7:09,7:29,7:49,8:09,8:29,8:49,9:09,9:29,9:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:29,18:49,19:09,19:38,20:08,20:38,21:08,21:38,22:08,22:38,23:08,23:38,0:08,0:38,1:08,1:38
Fawkner Station (Fawkner),6:06,6:31,6:51,7:11,7:31,7:51,8:11,8:31,8:51,9:11,9:31,9:51,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:31,18:51,19:11,19:40,20:10,20:40,21:10,21:40,22:10,22:40,23:10,23:40,0:10,0:40,1:10,1:40
Gowrie Station (Glenroy),6:08,6:33,6:53,7:13,7:33,7:53,8:13,8:33,8:53,9:13,9:33,9:53,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:33,18:53,19:13,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:12,23:42,0:12,0:42,1:12,1:42
Gowrie Station (Glenroy),6:08,6:33,6:53,7:13,7:33,7:53,8:13,8:33,8:53,9:13,9:33,9:53,10:13,10:33,10:53,11:13,11:33,11:53,12:13,12:33,12:53,13:13,13:33,13:53,14:13,14:33,14:53,15:13,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:33,18:53,19:13,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:12,23:42,0:12,0:42,1:12,1:42
Upfield Station (Coolaroo),6:13,6:38,6:58,7:18,7:38,7:58,8:18,8:38,8:58,9:18,9:38,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:38,17:58,18:18,18:38,18:58,19:18,19:47,20:17,20:47,21:17,21:47,22:17,22:47,23:17,23:47,0:17,0:47,1:17,1:47
